
2024-01-01T00:00:00	0.0	-42278675.9145245,29536455.466810077,6249375.904390207	-108190382.00228374,-11892865.571656916,6047990.297354545	-26009411.78183011,144561808.76899534,23540.08066535741	-45075951.66618773,-217519835.32553998,-3441603.706736475	521378243.025093,531392761.7845429,-13869339.741568	1344601804.9324243,-556363366.9681294,-43861297.67841542	1834520800.8619943,2288457023.9707417,-15267821.711265087	4463255867.885594,-268350858.9616661,-97333629.32635722	-1191882.8505558625,-434720.56802800065,31449.392260768305	-379087878.1852848,-254008467.35760146,28390716.157793302	-6544535506.449413,2432338215.697464,-1676056788.4999435	
2024-01-06T00:00:00	432000.0	-55068649.69169273,11317659.807308614,5934395.759090985	-105617775.5168706,-26845627.338305283,5694445.026664282	-38786175.1774481,141776377.1368027,23736.32202065736	-34372193.695285365,-218452163.43377566,-3723529.879157841	517271160.6972163,535597299.8451531,-13794893.456088752	1345958904.6368713,-552513449.3782538,-43982273.87281382	1832202879.6848035,2290158912.4658546,-15231472.835339904	4463380648.496315,-265993090.22624105,-97385058.88182053	-1188223.4380613524,-439983.03621620964,31414.972368116287	-374373764.15180266,-259858413.79557163,29430263.063394006	-6545604282.013008,2430733570.445563,-1677056288.3640203	
2024-01-11T00:00:00	864000.0	-60135976.81778633,-8707073.75264796,4763478.469101839	-100987608.65393381,-41278234.69925087,5229320.772510976	-51270556.77715497,137885177.1557662,23991.22348535061	-23591879.351047497,-218881281.62169504,-3996788.391708389	513133135.2544395,539769840.3584743,-13719621.996263653	1347305199.3403878,-548659096.6849142,-44102897.01582393	1829883157.6328034,2291858549.9266977,-15195108.99978602	4463504191.771234,-263635247.74502403,-97436461.44247232	-1184538.4823097787,-445213.9007251345,31380.073887765582	-369561801.5967602,-265640340.27137,30462101.923939295	-6546672619.166946,2429128762.3762665,-1678055675.8946626	
2024-01-16T00:00:00	1296000.0	-58374135.31737422,-27852629.250865553,3038008.497481324	-94396094.63719815,-54908514.56690701,4662044.302562203	-63365593.302249864,132918778.31639838,24302.568931765854	-12759218.719351223,-218799743.40712094,-4260629.343608439	508964431.8431816,543910152.8282038,-13643530.336617053	1348640673.5758522,-544800337.9818774,-44223165.986973524	1827561636.7578197,2293555934.405682,-15158730.2384516	4463626497.664172,-261277332.17099977,-97487836.99381663	-1180828.1352783612,-450414.16487085586,31344.62790521825	-364652919.61895275,-271352493.5682877,31485934.820777386	-6547740517.961446,2427523791.6422772,-1679054951.0561676	
2024-01-21T00:00:00	1728000.0	-51077276.16245433,-44399364.467344284,1017222.4620956425	-85977646.37292747,-67471615.27685328,4004008.6251742505	-74977597.0120202,126916483.52406313,24667.655344426632	-1899183.5681462586,-218201280.02523533,-4514308.833479568	504765317.35963416,548018009.1942965,-13566623.500927389	1349965311.9451838,-540937202.4210366,-44343079.66751379	1825238319.1139154,2295251063.9569526,-15122336.585206151	4463747566.129294,-258919344.15719414,-97539185.52136458	-1177092.380406251,-455584.65777032834,31308.567741005478	-359648084.11395496,-276993130.39642,32501464.313103806	-6548807978.446767,2425918658.3962407,-1680054113.8128712	
2024-01-26T00:00:00	2160000.0	-39570748.32542789,-57276851.436881244,-1089835.6607289426	-75901798.3562463,-78725082.42793016,3268325.6736521684	-86016980.04966286,119925954.32714666,25083.355626307428	8962546.913916223,-217080880.80660826,-4757091.975245699	500536060.4238176,552093183.8464053,-13488906.561705232	1351279099.119575,-537069719.2123109,-44462636.940430224	1822913206.757395,2296943936.6363864,-15085928.07393992	4463867397.121103,-256561284.35667434,-97590507.01063442	-1173331.0989533823,-460726.073267393,31271.830891893886	-354548297.8199499,-282560518.2731162,33508393.57314737	-6549875000.673212,2424313362.790745,-1681053164.1291475	
2024-01-31T00:00:00	2592000.0	-25111045.91555305,-65811615.07276298,-3112877.282389831	-64369489.119435444,-88453376.09823433,2469549.8056489527	-96399031.86729123,112002752.3432606,25546.13802611828	19799649.093601357,-215434872.1977214,-4988256.099435642	496276931.35353523,556135453.6369811,-13410384.639668077	1352582019.8397257,-533197917.62354136,-44581836.690454245	1820586301.7468045,2298634550.5015984,-15049504.738563538	4463985990.594442,-254203153.42254886,-97641801.44715166	-1169544.0933424295,-465838.99934698286,31234.357809452165	-349354600.33848274,-288052936.41297346,34506426.523554	-6550941584.691129,2422707904.978321,-1682052101.9694083	
2024-02-05T00:00:00	3024000.0	-8896955.531078227,-69572423.36129081,-4906704.076648872	-51608807.673360944,-96471759.78642651,1623378.9949378595	-106044639.0076977,103209804.53885543,26052.067645013332	30585226.833920524,-213260994.4573604,-5207094.12571086	491988202.13823247,560144597.8940322,-13331062.90321204	1353874058.9160779,-529321826.9803844,-44700677.804074466	1818257606.1429334,2300322903.6119423,-15013066.613009095	4464103346.504497,-251844952.00796673,-97693068.81644876	-1165731.0935302307,-470923.9326615066,31196.090363472846	-344068068.1293724,-293468676.62687296,35495267.9768396	-6552007730.550908,2421102285.1114426,-1683050927.2981033	
2024-02-10T00:00:00	3456000.0	7876921.255684935,-68292028.37205943,-6339903.180477008	-37870311.461464584,-102629511.38747875,746340.5688820332	-114880938.64353348,93616798.81447215,26596.88730637729	41291892.541690625,-210558474.98320323,-5412918.088112906	487670146.41276056,564120398.4335477,-13250946.567879707	1355155201.229052,-525441476.66620314,-44819159.169548094	1815927122.0088155,2302008994.0285125,-14976613.731228948	4464219464.806788,-249486680.76611614,-97744309.10406555	-1161891.7575971438,-475981.2818131575,31156.970734865637	-338689814.479206,-298806044.2295654,36474623.77680828	-6553073438.302985,2419496503.342529,-1684049640.0797215	
2024-02-15T00:00:00	3888000.0	23948299.432359654,-61848973.888581336,-7286768.177539088	-23422023.4884923,-106812424.88376126,-144531.8405706957	-122841900.49739751,83299520.09360968,27176.041310232133	51891857.33838627,-207328097.1543656,-5605062.790115744	483323039.43105924,568062639.5715765,-13170040.895824194	1356425431.729286,-521556896.12196153,-44937279.67691219	1813594851.4097316,2303692819.814143,-14940146.127196908	4464334345.457181,-247128340.35022587,-97795522.29554886	-1158025.6702968986,-481011.3622211802,31116.940865802637	-333220989.4429839,-304063358.95522046,37444200.941851296	-6554138707.997837,2417890559.823938,-1685048240.278788	
